fid,interaction_id,interactions
403507,781098,87232
538721,503116,10096
284439,284439,6810
284439,8446,5764
460287,408746,4148
460287,263574,3961
460287,292506,3871
460287,218142,3725
460287,272116,3713
460287,247143,3562
460287,403619,3467
324808,239533,3409
460287,250874,3195
460287,483365,2994
324808,197687,2897
460287,422233,2804
460287,236581,2719
473086,502765,2609
460287,270228,2587
460287,477292,2564
460287,531649,2557
460287,411778,2534
460287,429539,2517
510583,388302,2450
460287,12626,2370
243719,781098,2279
324808,258274,2259
460287,486468,2213
545464,388302,2195
460287,480793,2170
460287,508096,2163
460287,449882,2101
460287,436577,2091
324808,18069,2055
460287,265323,2047
510831,388302,2033
460287,427349,2024
324808,213628,1966
460287,354775,1962
506958,388302,1943
460287,281836,1935
460287,417063,1923
460287,250739,1917
460287,242661,1906
284439,382802,1892
460287,285462,1879
460287,466111,1820
460287,266782,1787
518884,388302,1772
460287,516028,1755
460287,396484,1750
460287,535208,1734
460287,218369,1704
460287,315697,1700
460287,535238,1679
460287,403090,1670
460287,465392,1667
460287,473065,1641
593396,234434,1635
460287,488848,1627
460287,440747,1606
460287,4482,1605
460287,503541,1599
460287,420554,1565
460287,509022,1557
460287,375727,1551
460287,426178,1531
460287,407705,1467
460287,477741,1463
786858,564721,1461
460287,423036,1460
234434,593396,1445
460287,234616,1430
460287,401724,1428
786858,12626,1425
460287,430244,1423
460287,247653,1380
460287,245124,1280
460287,353819,1275
473086,418321,1273
460287,406815,1263
460287,402888,1262
260657,382802,1255
460287,462982,1242
324808,258564,1224
460287,439396,1224
460287,274908,1178
460287,420657,1178
460287,397392,1174
460287,631749,1172
460287,368412,1164
460287,503286,1147
460287,306729,1144
460287,484256,1119
460287,318908,1117
600714,388302,1112
460287,270005,1110
460287,405979,1107
460287,8152,1100
460287,285604,1100
460287,597941,1092
324808,234616,1089
460287,306175,1082
460287,544047,1077
460287,243719,1072
460287,301144,1069
272115,388302,1062
460287,504991,1045
460287,407021,1045
460287,311387,1041
460287,386444,1038
460287,294370,1020
429389,388302,1010
483595,388302,994
460287,470886,991
460287,426167,970
509369,424006,957
460287,510956,949
460287,343855,945
520832,388302,945
460287,284679,945
460287,406493,944
324808,301447,942
460287,500268,941
460287,318089,940
460287,236210,939
443434,388302,934
460287,395131,932
460287,401441,930
460287,500235,922
460287,264222,921
460287,419350,909
460287,309242,905
460287,262938,904
460287,415305,902
460287,449044,901
460287,14345,901
460287,349975,896
460287,380136,889
460287,454819,887
460287,414258,886
460287,455119,882
460287,540412,881
460287,500500,880
460287,401049,880
460287,457675,878
460287,518129,877
460287,432952,877
460287,389456,876
460287,406564,873
460287,380455,871
460287,264612,865
460287,485585,858
460287,397488,854
460287,199325,853
460287,500537,834
460287,504228,825
460287,214598,821
